Draw Date,Winning Numbers,Mega Ball,Multiplier,Game Type,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Split 10,Split 11,Split 12,Split 13,Split 14,Split 15,Split 16,Split 17,Split 18,Split 19,Split 20
4/16/24,21 26 36 44 59,02,04,Mega Millions,21,26,36,44,59,,,,,,,,,,,,,,,
4/12/24,01 12 14 18 66,16,02,Mega Millions,1,12,14,18,66,,,,,,,,,,,,,,,
4/9/24,34 43 51 52 69,25,04,Mega Millions,34,43,51,52,69,,,,,,,,,,,,,,,
4/5/24,20 30 54 63 65,14,03,Mega Millions,20,30,54,63,65,,,,,,,,,,,,,,,
4/2/24,10 50 56 60 66,19,03,Mega Millions,10,50,56,60,66,,,,,,,,,,,,,,,
3/29/24,11 30 33 38 60,16,04,Mega Millions,11,30,33,38,60,,,,,,,,,,,,,,,
3/26/24,07 11 22 29 38,04,02,Mega Millions,7,11,22,29,38,,,,,,,,,,,,,,,
3/22/24,03 08 31 35 44,16,03,Mega Millions,3,8,31,35,44,,,,,,,,,,,,,,,
3/19/24,24 46 49 62 66,07,02,Mega Millions,24,46,49,62,66,,,,,,,,,,,,,,,
3/15/24,13 25 50 51 66,06,05,Mega Millions,13,25,50,51,66,,,,,,,,,,,,,,,
3/12/24,02 16 31 57 64,24,03,Mega Millions,2,16,31,57,64,,,,,,,,,,,,,,,
3/8/24,19 20 22 47 58,01,03,Mega Millions,19,20,22,47,58,,,,,,,,,,,,,,,
3/5/24,02 49 50 61 70,14,02,Mega Millions,2,49,50,61,70,,,,,,,,,,,,,,,
3/1/24,15 33 37 55 61,24,04,Mega Millions,15,33,37,55,61,,,,,,,,,,,,,,,
2/27/24,06 18 26 27 49,04,03,Mega Millions,6,18,26,27,49,,,,,,,,,,,,,,,
2/23/24,04 06 40 41 60,11,05,Mega Millions,4,6,40,41,60,,,,,,,,,,,,,,,
2/20/24,05 45 55 58 68,07,02,Mega Millions,5,45,55,58,68,,,,,,,,,,,,,,,
2/16/24,19 23 39 42 67,18,04,Mega Millions,19,23,39,42,67,,,,,,,,,,,,,,,
2/13/24,01 03 19 25 58,20,03,Mega Millions,1,3,19,25,58,,,,,,,,,,,,,,,
2/9/24,17 22 29 46 69,01,03,Mega Millions,17,22,29,46,69,,,,,,,,,,,,,,,
2/6/24,02 10 31 44 57,10,04,Mega Millions,2,10,31,44,57,,,,,,,,,,,,,,,
2/2/24,11 22 42 64 69,18,03,Mega Millions,11,22,42,64,69,,,,,,,,,,,,,,,
1/30/24,03 05 16 58 59,11,04,Mega Millions,3,5,16,58,59,,,,,,,,,,,,,,,
